Course_ID,Num_Subscribers,Course_Title,Price,Num_Review,Num_Lectures,Level,Rating,Content_Duration,Published_Timestamp,Subject,Date_Published,Course_Type
49798,65576,Bitcoin or How I Learned to Stop Worrying and Love Crypto,0,936,24,All Levels,0.56,8,2013-04-20T02:25:22Z,Business Finance,4/20/2013,Free
48841,56659,Accounting in 60 Minutes - A Brief Introduction,0,4397,16,Beginner Level,0.95,1.5,2013-04-07T21:39:25Z,Business Finance,4/7/2013,Free
133536,50855,Stock Market Investing for Beginners,0,2698,15,All Levels,0.91,1.5,2013-12-25T19:53:34Z,Business Finance,12/25/2013,Free
151668,29167,Introduction to Financial Modeling,0,1463,8,All Levels,0.18,1.5,2014-05-27T16:22:16Z,Business Finance,5/27/2014,Free
648826,24481,The Complete Financial Analyst Course 2017,195,2347,174,All Levels,0.37,10,2016-01-21T01:38:48Z,Business Finance,1/21/2016,Paid
97338,22344,Forex Basics,0,712,26,All Levels,0.89,3.5,2013-10-16T17:40:23Z,Business Finance,10/16/2013,Free
321410,22257,Beginner to Pro in Excel: Financial Modeling and Valuation,195,2697,138,Intermediate Level,0.13,7.5,2014-11-25T23:00:40Z,Business Finance,11/25/2014,Paid
301442,20195,Black Algo Trading: Build Your Trading Robot,200,1113,227,All Levels,0.21,16,2014-10-27T22:01:36Z,Business Finance,10/27/2014,Paid
189160,19614,Financial Analysis: A Recipe for Success,0,635,14,All Levels,0.3,1.5,2014-04-23T15:10:52Z,Business Finance,4/23/2014,Free
191854,19339,Stock Market Foundations,0,794,9,All Levels,0.89,2,2014-03-31T21:35:06Z,Business Finance,3/31/2014,Free
754028,17847,Financial Accounting - A Brief Introduction,0,1440,17,Intermediate Level,0.34,1,2016-02-24T14:53:28Z,Business Finance,2/24/2016,Free
265960,17160,Fundamentals of Forex Trading,0,620,23,Beginner Level,0.69,1,2014-08-29T20:10:38Z,Business Finance,8/29/2014,Free
308690,16900,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195,2476,52,Beginner Level,0.16,5.5,2014-12-12T23:58:39Z,Business Finance,12/12/2014,Paid
285638,16385,Learn to Trade for Profit:Trading with Japanese Candlesticks,60,273,45,Beginner Level,0.78,3,2014-09-02T03:53:13Z,Business Finance,9/2/2014,Paid
401784,12394,Options Trading Introduction: Day Trade Stock Options,95,218,30,All Levels,0.25,2.5,2015-02-20T21:39:41Z,Business Finance,2/20/2015,Paid
189996,12217,Introduction to Digital Payments,0,351,17,All Levels,0.41,1,2014-04-29T05:49:43Z,Business Finance,4/29/2014,Free
302562,11958,Introduction to Accounting: The Language of Business,20,370,134,All Levels,0.81,11.5,2014-10-02T09:16:55Z,Business Finance,10/2/2014,Paid
777444,11724,Corporate Finance - A Brief Introduction,0,649,17,All Levels,0.81,1.5,2016-03-04T05:58:09Z,Business Finance,3/4/2016,Free
116128,11517,CPA 101: How To Master Affiliate Marketing In No Time,100,92,21,All Levels,0.81,1.5,2013-11-09T21:46:52Z,Business Finance,11/9/2013,Paid
888716,11441,"Introduction to Finance, Accounting, Modeling and Valuation",200,1118,61,All Levels,0.81,4.5,2016-06-28T06:12:23Z,Business Finance,6/28/2016,Paid
774174,10670,Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,0,444,15,All Levels,0.81,1,2016-03-03T21:03:33Z,Business Finance,3/3/2016,Free
325834,10605,Learn to Trade for Profit: Find and Trade Winning Stocks,95,71,77,All Levels,0.81,3,2014-10-24T18:13:49Z,Business Finance,10/24/2014,Paid
260470,10603,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200,872,42,All Levels,0.81,5.5,2014-10-12T21:19:11Z,Business Finance,10/12/2014,Paid
205810,10540,Beginners Binary Options Course,0,799,14,All Levels,0.81,1.5,2014-04-27T06:58:27Z,Business Finance,4/27/2014,Free
109622,10338,Finance - Ratios Analysis & Interpretations,30,52,41,Beginner Level,0.81,2.5,2013-10-23T18:34:25Z,Business Finance,10/23/2013,Paid
506568,10149,Create A Business From Home Trading Stocks Today In 2017,75,83,16,All Levels,0.81,2,2015-05-26T17:25:46Z,Business Finance,5/26/2015,Paid
43319,10100,Options Trading Basics (3-Course Bundle),180,985,45,All Levels,0.81,11,2013-02-25T11:36:06Z,Business Finance,2/25/2013,Paid
640100,10042,Accounting & Financial Statement Analysis: Complete Training,150,594,43,Beginner Level,0.81,3,2015-10-22T00:03:48Z,Business Finance,10/22/2015,Paid
114518,9995,Improve Your Financial Literacy,0,96,10,All Levels,0.81,2,2014-02-10T03:50:00Z,Business Finance,2/10/2014,Free
706942,9483,Forex Trading For Beginners,0,183,22,All Levels,0.81,2,2016-01-14T02:46:59Z,Business Finance,1/14/2016,Free
165964,9445,Stock Trading Ninja: Complete System For Trading Success,155,497,38,Beginner Level,0.81,4.5,2014-02-19T19:04:28Z,Business Finance,2/19/2014,Paid
192870,9221,Trading Penny Stocks: A Guide for All Levels In 2017,150,138,25,All Levels,0.81,3,2014-05-02T15:13:30Z,Business Finance,5/2/2014,Paid
252396,9015,How to Pick The Right Penny Stocks To Invest In 2017,150,65,23,All Levels,0.81,2.5,2014-07-01T20:04:27Z,Business Finance,7/1/2014,Paid
418732,8985,Hedge Fund Trading System,0,584,12,Expert Level,0.81,1,2015-03-06T01:11:18Z,Business Finance,3/6/2015,Free
380970,8797,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,449,80,All Levels,0.81,6.5,2015-01-09T03:55:15Z,Business Finance,1/9/2015,Paid
965832,8575,The Complete Investment Banking Course 2017,195,809,110,Intermediate Level,0.81,5.5,2016-10-10T16:16:26Z,Business Finance,10/10/2016,Paid
358326,8314,Dividend Investing: Build Your Portfolio for a Better Future,60,83,47,Beginner Level,0.81,4,2015-01-24T06:31:19Z,Business Finance,1/24/2015,Paid
614472,8236,The Advanced Forex Course for Smart Traders,0,144,25,All Levels,0.81,5,2015-10-09T16:46:49Z,Business Finance,10/9/2015,Free
985922,8121,Excel Crash Course: Master Excel for Financial Analysis,105,689,40,Beginner Level,0.29,3.5,2016-10-18T00:51:59Z,Business Finance,10/18/2016,Paid
58977,8095,Financial Statements Made Easy,95,249,12,All Levels,0.18,0.583333333,2013-06-09T00:21:26Z,Business Finance,6/9/2013,Paid
258232,7941,Algorithmic Trading In Forex: Create Your First Forex Robot!,185,713,40,Expert Level,0.22,6.5,2014-08-11T08:01:14Z,Business Finance,8/11/2014,Paid
434774,7884,Options Trading Stocks: Proven Toolbox For Financial Success,195,118,68,All Levels,0.18,10,2015-05-19T23:25:41Z,Business Finance,5/19/2015,Paid
256200,7750,How To Start Trading Penny Stocks In 10 Easy Steps 2017,50,58,15,Beginner Level,0.94,1.5,2014-07-17T08:02:54Z,Business Finance,7/17/2014,Paid
596598,7743,Basic Excel for Basic Bookkeeping and Accounting,95,340,33,All Levels,0.07,1.5,2015-09-10T00:30:48Z,Business Finance,9/10/2015,Paid
627540,7489,Options Trading - How to Win with Weekly Options,115,1190,25,Beginner Level,0.15,1,2015-10-22T21:54:28Z,Business Finance,10/22/2015,Paid
1005312,7183,【１日でマスター！】今日からはじめる資産形成,20,819,14,All Levels,0.72,1,2017-01-19T23:51:32Z,Business Finance,1/19/2017,Paid
233900,7159,Get Started With Penny Stocks -Step by Step Guide to Trading,200,61,18,All Levels,0.11,2,2014-06-02T03:34:56Z,Business Finance,6/2/2014,Paid
377370,6967,Learn to Trade the Stock Market without Blowing Your Profits,60,16,34,Beginner Level,0.48,1,2017-05-02T20:53:24Z,Business Finance,5/2/2017,Paid
923616,6811,Website Investing 101 - Buying & Selling Online Businesses,0,151,51,Intermediate Level,0.52,2,2016-08-05T17:03:15Z,Business Finance,8/5/2016,Free
47504,6533,Use Crowdfunding Effectively With Indiegogo and Kickstarter,0,32,9,All Levels,0.2,2,2013-06-25T15:22:28Z,Business Finance,6/25/2013,Free
199450,6451,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,237,28,All Levels,0.8,5,2014-04-16T13:58:31Z,Business Finance,4/16/2014,Paid
105972,6374,Foundation of Options Trading and Investing,20,21,14,Beginner Level,0.3,1,2013-10-16T04:41:28Z,Business Finance,10/16/2013,Paid
885974,6219,Four Fundamentals of Financial Planning,30,23,20,Intermediate Level,0.54,1,2017-02-14T04:42:58Z,Business Finance,2/14/2017,Paid
716828,6185,The Beginner's Guide to the Futures and Options Trading,0,138,20,Beginner Level,0.36,3,2016-01-18T19:47:54Z,Business Finance,1/18/2016,Free
214046,6092,Option Trading for Rookies: The Covered Call Option Strategy,95,25,29,Intermediate Level,0.11,1.5,2016-11-03T05:22:20Z,Business Finance,11/3/2016,Paid
373716,6050,Forex Basics (Professional Course Level),20,34,25,All Levels,0.44,1.5,2014-12-19T08:49:47Z,Business Finance,12/19/2014,Paid
215728,6050,Shark Accounting - Building a Business by the Numbers!,20,140,17,All Levels,0.8,1.5,2014-05-18T19:08:04Z,Business Finance,5/18/2014,Paid
196620,6024,Como Investir em Ações para Iniciantes,0,890,18,Beginner Level,0.29,1,2014-04-11T22:03:10Z,Business Finance,4/11/2014,Free
632368,5983,Monatlich Geld anlegen für später!,30,135,7,Beginner Level,0.74,0.616666667,2015-10-06T20:05:20Z,Business Finance,10/6/2015,Paid
805336,5931,Introductory Forex Trading Course,0,158,15,Intermediate Level,0.87,3.5,2016-05-04T22:34:45Z,Business Finance,5/4/2016,Free
249950,5874,Binary Options Course - Level 2,0,207,9,Beginner Level,0.55,2,2014-06-26T02:00:55Z,Business Finance,6/26/2014,Free
824592,5841,Basic Bookkeeping Hacks,20,16,28,Beginner Level,0.29,1.5,2016-06-14T15:43:23Z,Business Finance,6/14/2016,Paid
